시도,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균목(CRE) 감염증,E형간염
전국,"20,929",0.0,0.0,61.0,29.0,18.0,165.0,"6,583",21.0,"9,708",0.0,0.0,0.0,2.0,1.0,269.0,5.0,678.0,3.0,"23,311",494.0
서울,"2,832",0.0,0.0,3.0,7.0,4.0,25.0,"1,453",3.0,"1,166",0.0,0.0,0.0,1.0,1.0,53.0,0.0,72.0,1.0,"6,459",79.0
부산,"1,231",0.0,0.0,10.0,5.0,2.0,7.0,96,0.0,506,0.0,0.0,0.0,0.0,0.0,13.0,0.0,38.0,0.0,"2,370",10.0
대구,934,0.0,0.0,1.0,1.0,0.0,8.0,70,0.0,477,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,"1,733",6.0
인천,"1,111",0.0,0.0,1.0,1.0,0.0,9.0,577,2.0,471,0.0,0.0,0.0,0.0,0.0,24.0,1.0,35.0,0.0,"1,897",14.0
광주,680,0.0,0.0,3.0,3.0,2.0,36.0,147,0.0,271,0.0,0.0,0.0,0.0,0.0,7.0,0.0,90.0,0.0,343,14.0
대전,614,0.0,0.0,2.0,0.0,0.0,7.0,196,1.0,288,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,0.0,354,2.0
울산,442,0.0,0.0,7.0,2.0,0.0,6.0,24,0.0,326,0.0,0.0,0.0,0.0,0.0,5.0,0.0,35.0,0.0,283,4.0
경기,"5,713",0.0,0.0,10.0,5.0,4.0,18.0,"2,493",4.0,"2,718",0.0,0.0,0.0,0.0,0.0,64.0,0.0,175.0,1.0,"4,597",153.0
강원,608,0.0,0.0,2.0,0.0,0.0,4.0,158,0.0,376,0.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,500,42.0
충북,718,0.0,0.0,0.0,1.0,0.0,4.0,238,1.0,234,0.0,0.0,0.0,0.0,0.0,9.0,1.0,16.0,0.0,192,16.0
충남,826,0.0,0.0,3.0,0.0,1.0,2.0,475,0.0,469,0.0,0.0,0.0,0.0,0.0,15.0,1.0,23.0,0.0,506,27.0
전북,722,0.0,0.0,2.0,1.0,0.0,3.0,196,1.0,419,0.0,0.0,0.0,1.0,0.0,7.0,0.0,16.0,0.0,"1,067",20.0
전남,"1,079",0.0,0.0,4.0,1.0,3.0,14.0,125,0.0,525,0.0,0.0,0.0,0.0,0.0,8.0,0.0,45.0,0.0,406,29.0
경북,"1,086",0.0,0.0,4.0,0.0,0.0,8.0,110,6.0,422,0.0,0.0,0.0,0.0,0.0,12.0,1.0,22.0,0.0,762,32.0
경남,"1,655",0.0,0.0,9.0,2.0,0.0,6.0,70,3.0,776,0.0,0.0,0.0,0.0,0.0,15.0,1.0,50.0,1.0,"1,579",33.0
제주,417,0.0,0.0,0.0,0.0,2.0,4.0,108,0.0,176,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,232,12.0
세종,261,0.0,0.0,0.0,0.0,0.0,4.0,47,0.0,88,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,31,1.0
미상,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
