시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,23.0,332.0,11.0,"8,308",420.0,415.0,46.0,0.0,4.0,"6,235",125.0,5.0,0.0,302.0,61.0,0.0,103.0,56.0,0.0,22.0,0.0,2.0,8.0,193.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,3.0,52.0,2.0,"1,285",60.0,66.0,3.0,0.0,1.0,149,2.0,0.0,0.0,7.0,14.0,0.0,32.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,2.0,14.0,0.0,"1,139",8.0,18.0,3.0,0.0,0.0,416,7.0,0.0,0.0,12.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,0.0,15.0,1.0,350,2.0,30.0,2.0,0.0,0.0,139,4.0,0.0,0.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,0.0,23.0,1.0,641,63.0,36.0,4.0,0.0,0.0,66,0.0,0.0,0.0,4.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,2.0,11.0,0.0,243,0.0,16.0,0.0,0.0,0.0,178,4.0,0.0,0.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,1.0,16.0,0.0,149,9.0,7.0,0.0,0.0,0.0,175,3.0,0.0,0.0,10.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,0.0,2.0,0.0,163,3.0,1.0,0.0,0.0,0.0,289,1.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,3.0,107.0,4.0,"1,645",236.0,102.0,13.0,0.0,1.0,383,7.0,0.0,0.0,44.0,16.0,0.0,24.0,7.0,0.0,8.0,0.0,1.0,2.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,0.0,6.0,1.0,126,15.0,10.0,1.0,0.0,0.0,25,2.0,0.0,0.0,13.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,0.0,12.0,1.0,138,3.0,10.0,0.0,0.0,0.0,116,8.0,0.0,0.0,10.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,4.0,10.0,0.0,309,3.0,12.0,2.0,0.0,0.0,645,25.0,0.0,0.0,33.0,2.0,0.0,3.0,9.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,2.0,18.0,0.0,215,3.0,3.0,2.0,0.0,0.0,753,15.0,0.0,0.0,30.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,4.0,11.0,0.0,538,5.0,27.0,7.0,0.0,0.0,"1,023",25.0,2.0,0.0,63.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,1.0,10.0,1.0,450,5.0,16.0,2.0,0.0,2.0,435,7.0,0.0,0.0,21.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,1.0,16.0,0.0,783,3.0,20.0,7.0,0.0,0.0,"1,332",14.0,3.0,0.0,32.0,2.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,7.0,0.0,117,1.0,41.0,0.0,0.0,0.0,67,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,0.0,2.0,0.0,17,1.0,0.0,0.0,0.0,0.0,44,1.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
